"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bulgaria","BGR","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8964309692383","","","46.7424697875977","46.8403587341309","44.6104583740234","39.8806114196777","45.9355201721191","44.689151763916","44.5282096862793","42.5013999938965","40.6160507202148","42.9761199951172","41.4084091186523","39.157958984375","38.9118499755859","","","","",
"Bahrain","BHR","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","41.2846488952637","41.0722007751465","22.3370609283447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4030609130859","43.0667114257813","44.2246398925781","","",
"Bahamas, The","BHS","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.2428207397461",
"Belize","BLZ","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.067289352417","31.6237506866455","","","","39.1579704284668","","","","40.3430595397949","39.906551361084","41.1290702819824","","","38.138671875","39.3224105834961","41.1740798950195","","40.9879608154297",
"Bermuda","BMU","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","35.4291610717773","","45.4079704284668","","","","","","","","","","36.8827514648438","","","","","30.7517509460449","33.202449798584","29.8469104766846","","","","","","59.6232795715332","","","","","","52.368579864502","52.2850303649902","","","","","45.4172706604004","","","","44.3328514099121","44.3101005554199","","44.3947296142578",
"Bolivia","BOL","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5565795898438","7.67834997177124","10.0167398452759","","20.5351905822754","21.1011905670166","18.4680309295654","","23.4166202545166","24.3153190612793","","","25.5860900878906","","26.0629405975342","25.9963703155518","26.2899303436279","29.0842094421387","21.2356605529785","33.3161392211914","27.0976390838623","","","",
"Brazil","BRA","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1384696960449","","","37.596549987793","35.657398223877","38.4423217773438","40.0805892944336","40.3633613586426","","39.3634605407715","38.7884788513184","43.7879791259766","43.6555213928223","44.5640411376953","44.608470916748","44.664909362793","45.1179618835449","44.1181411743164","44.998119354248","43.094669342041","","","",
"Barbados","BRB","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","34.1582717895508","33.3147087097168","35.3680610656738","35.0061111450195","","29.0612392425537","29.4101104736328","","","","","","","","","","","","","","39.3091087341309","","","","","","","","33.2197113037109","35.5446395874023","32.8131408691406","33.8660697937012","35.0073204040527","32.479320526123","31.6958503723145","","32.4828186035156","29.3694305419922","28.9402198791504","29.6374092102051","","29.9328098297119","24.8601207733154","22.4761695861816","","39.3067092895508","",
